French,English 
mot,word 
le,the 
de,of 
être,to be
un,a 
à,to 
avoir,to have
il,he 
ce,this 
en,in 
et,and 
pour,for 
pas,not 
son,his 
dans,in 
je,I 
lui,him 
sur,on 
par,through 
nous,we 
ne,not 
tout,all 
faire,to do
avec,with 
plus,more 
très,very 
mais,but 
aussi,too 
leur,their 
votre,your 
que,that 
notre,our 
donc,therefore 
bien,well 
aller,to go
également,also 
mon,my 
cela,that 
falloir,to need
autre,other 
y,there 
même,even 
nouveau,new 
deux,two 
bon,good 
premier,first 
me,me 
toujours,always 
encore,"again, still"
qui,who 
prendre,to take
rester,to stay
sans,without 
alors,then 
an,year 
grand,big 
voir,to see
site,site 
français,French 
travail,work 
vouloir,to want
ou,or 
depuis,since 
jour,day 
temps,time 
comme,as 
question,question 
personne,person 
beaucoup,a lot
devenir,to become
vie,life 
pourcent,percent 
monde,world 
connaître,to know
groupe,group 
déjà,already 
attendre,to wait
là,there 
sous,under 
homme,man 
rien,nothing 
venir,to come
résultat,result 
petit,small 
projet,project 
point,point 
dernier,last 
jeu,game 
euro,euro 
mettre,to put
politique,political 
problème,problem 
enfant,child 
quelque,some 
dire,to say
plusieurs,several 
aucun,none 
ville,"city, town"
chose,thing 
entre,between 
commencer,to begin
après,after 
vraiment,really 
contre,against 
vers,towards 
fin,end 
savoir,to know
partie,part 
heure,hour 
service,service 
situation,situation 
ici,here 
cas,case 
pays,country 
important,important 
merci,thank-you 
trois,three 
prix,"price, award"
seul,"alone, lonely"
public,public 
année,year 
lieu,place 
histoire,"story, history"
compte,account 
maintenant,now 
retour,return 
ainsi,thus 
équipe,team 
mois,month 
recherche,research 
match,match 
chez,"at, to"
comment,how 
chaque,each 
photo,photo 
trop,too 
information,information 
demande,request 
suivre,to follow
marché,market 
famille,family 
réponse,answer 
droit,right 
nombreux,numerous 
système,system 
jamais,never 
bel,"good-looking, pretty"
coup,blow 
ligne,line 
fait,fact 
non,no 
forme,shape 
mort,dead person
femme,woman 
film,film 
changer,to change
donner,to give
avant,before 
général,general 
affaire,affair 
différent,different 
trouver,to find
semaine,week 
jeune,young 
page,page 
ouvrir,to open
entreprise,company 
perdre,to lose
tu,you 
ton,your 
moment,moment 
fort,strong 
américain,American 
souvent,often 
assez,enough 
million,million 
image,image 
vrai,TRUE 
quel,which 
dollar,dollar 
septembre,September 
utiliser,to utilize
ci,here 
permettre,to allow
simple,simple 
nom,name 
exister,to exist
moins,less 
titre,title 
parler,to talk
jouer,to play
programme,a program
prochain,"next, upcoming"
porte,door 
joueur,player 
choix,choice 
appeler,to call
cependant,however 
disponible,available 
juin,June 
exemple,example 
président,president 
activité,activity 
maison,house 
comprendre,to understand
difficile,difficult 
tenir,to hold
début,beginning 
pourtant,yet 
décision,decision 
livre,book 
acteur,actor 
fois,time 
long,long 
mal,badly 
mesure,measure 
centre,center 
effet,effect 
risque,risk 
sembler,to seem
celui,the one
rencontre,"encounter, meeting"
produit,product 
société,society 
actuellement,currently 
action,a deed
gouvernement,government 
technique,technical 
niveau,level 
pourquoi,why 
qualité,quality 
journée,day 
article,article 
janvier,January 
principal,main 
surtout,above all
suite,continuation 
plan,plan 
toutefois,however 
possible,possible 
octobre,October 
eau,water 
professionnel,professional 
créer,to create
avril,April 
région,region 
social,social 
moi,me 
national,national 
texte,text 
selon,according to
juillet,July 
tête,head 
pratique,practice 
offrir,to offer
recevoir,to receive
européen,European 
ailleurs,somewhere else
poursuivre,to chase
enfin,finally 
pendant,during 
sujet,subject 
solution,solution 
certain,certain 
mai,May 
saison,season 
ensemble,together 
raison,reason 
développement,development 
meilleur,better 
liste,list 
but,aim 
plutôt,"rather, instead"
école,school 
lancer,to throw
état,state 
carte,card 
international,international 
musique,music 
novembre,November 
base,base 
club,club 
main,hand 
membre,member 
environ,about 
devant,in front
fonction,function 
décembre,December 
arriver,to arrive
ça,that 
mise,placement 
février,February 
date,date 
modèle,model 
vivre,to live
chiffre,a digit
besoin,need 
loi,law 
étude,study 
couleur,color 
objectif,objective 
deuxième,second 
rapport,"report, ratio"
découvrir,to discover
idée,idea 
succès,success 
jusque,until 
guerre,war 
rôle,role 
valeur,value 
agir,to act
rendre,to return
sécurité,security 
puis,then 
victoire,victory 
ancien,old 
crise,crisis 
tour,tower 
dès,from 
annoncer,to announce
croire,to believe
côté,side 
minute,minute 
vue,sight 
gros,big 
nuit,night 
parfois,sometimes 
association,association 
aide,help 
travailler,to work
obtenir,to obtain
force,force 
complet,"full, complete"
départ,departure 
plein,full 
si,if 
dur,hard 
partir,to leave
cause,cause 
route,road 
visite,visit 
donnée,data 
débat,debate 
opération,operation 
loin,far 
réseau,network 
police,police 
vente,sale 
répondre,to answer
terminer,to end
local,local 
économique,economic 
condition,condition 
choisir,to choose
finir,to finish
août,August 
quatre,four 
proposer,to propose
servir,to serve
arrêter,to stop
expérience,"experience, experiment"
gestion,administration 
population,population 
nombre,number 
mouvement,movement 
présent,present 
type,kind 
accord,an agreement
version,version 
langue,a language
présenter,to present
gagner,to win
corps,body 
voilà,there is
salle,hall 
secteur,sector 
terrain,ground 
posséder,to own
mieux,better 
demander,to ask
mourir,to die
direction,direction 
porter,to carry
terre,earth 
financier,financial 
voici,here is
noir,black 
changement,change 
particulièrement,particularly 
sortie,exit 
course,race 
entendre,to hear
dimanche,Sunday 
personnel,personal 
beau,pretty 
appel,call 
contrat,contract 
libre,free 
presse,the press
particulier,particular 
habitant,an inhabitant
écrire,to write
oeil,an eye
assurer,to assure
lien,link 
vite,quickly 
enquête,investigation 
quand,when 
humain,human 
contrôle,control 
vendredi,Friday 
voiture,car 
production,production 
commune,a town
chef,"manager, boss"
mauvais,bad 
période,period 
victime,victim 
haut,high 
série,series 
poste,post office
document,document 
détail,detail 
méthode,method 
part,a hare
fille,a girl
durée,duration 
traitement,treatment 
véritable,"real, genuine"
laisser,to leave
second,second 
village,village 
position,position 
scène,stage 
troisième,third 
juste,exactly 
excellent,excellent 
domaine,domain 
continuer,to continue
création,creation 
samedi,Saturday 
marque,brand 
publier,to publish
message,message 
organisation,organization 
vidéo,video 
total,total 
client,customer 
lundi,Monday 
réalité,reality 
organiser,to organise
te,"yourself, you"
cinq,five 
pièce,piece 
pied,foot 
sentir,to smell
voyage,travel 
santé,health 
rapidement,"quickly, fast"
origine,origin 
clair,clear 
soirée,evening 
allemand,German 
où,where 
spectacle,spectacle 
principe,principle 
art,art 
mercredi,Wednesday 
ordre,order 
atteindre,to attain
actuel,current 
communication,communication 
nécessaire,necessary 
partager,to share
père,father 
plaisir,pleasure 
classe,class 
élève,student 
parti,political party
campagne,country 
source,source 
simplement,simply 
propre,clean 
court,short 
analyse,analysis 
seulement,only 
blanc,white 
certains,some 
application,application 
rue,street 
fond,fund 
commentaire,comment 
parent,relative 
emploi,job 
presque,almost 
auteur,author 
chambre,room 
voie,way 
autorité,authority 
notamment,notably 
entrée,entrance 
commande,an order
lire,to read
concerner,to concern
varier,to vary
envoyer,to send
avis,opinion 
logiciel,software 
mission,mission 
coût,cost 
limite,limit 
hausse,rise 
bilan,balance sheet
intérieur,interior 
présentation,presentation 
ami,friend 
charge,load 
ouvert,open 
internet,the Internet
ministre,minister 
directeur,director 
bas,low 
nature,nature 
espace,space 
mode,fashion 
construction,construction 
réaction,reaction 
préférer,to prefer
rapide,fast 
face,face 
situer,to locate
inscrire,to inscribe
milliard,a billion
outil,tool 
combat,"struggle, fight"
paraître,to appear
chemin,path 
règle,rule 
attention,attention 
chance,chance 
manque,lack 
marquer,to mark
confiance,confidence 
or,gold 
double,double 
confirmer,to confirm
personnage,character 
intéressant,interesting 
relation,relation 
élément,element 
jeudi,Thursday 
reconnaître,to recognize
historique,historical 
prêt,ready 
toucher,to touch
étape,stage 
siège,seat 
mardi,Tuesday 
consulter,to consult
facile,easy 
proposition,proposition 
unique,unique 
durer,to last
artiste,artist 
anglais,English 
rouge,red 
pression,pressure 
justice,justice 
penser,to think
commission,commission 
rêve,dream 
cliquer,to click
critique,criticism 
séance,session 
doute,doubt 
connaissance,knowledge 
inscription,registration 
officiel,official 
zone,zone 
mère,mother 
payer,to pay
possibilité,possibility 
oublier,to forget
siècle,century 
accès,access 
mondial,global 
prison,"jail, prison"
université,university 
marche,march 
car,because 
structure,structure 
responsabilité,responsibility 
apparaître,to appear
construire,to build
droite,right side
phénomène,phenomenon 
animal,animal 
liberté,freedom 
prise,socket 
journal,newspaper 
objet,object 
accueillir,to welcome
discussion,discussion 
baisse,decrease 
fixer,to fasten
bois,wood 
aimer,to love
erreur,mistake 
carrière,career 
tomber,to fall
bientôt,soon 
naturel,natural 
événement,event 
apprendre,to learn
banque,bank 
journaliste,a journalist
intérêt,interest 
coeur,heart 
essayer,to try
totalement,"totally, completely"
compter,to count
accepter,to accept
conséquence,consequence 
soir,evening 
test,test 
placer,to place
cadre,frame 
apprécier,to appreciate
candidat,candidate 
interdire,to forbid
tableau,a painting
étranger,foreign 
contenir,to contain
moteur,engine 
produire,to produce
véhicule,vehicle 
voix,voice 
rare,rare 
sens,meaning 
différence,difference 
matière,a material
peuple,people 
quoi,what 
près,close 
garde,a guardian
environnement,environment 
piste,a track
genre,a kind
suffire,to suffice
réel,real 
quartier,a district
élection,election 
policier,policeman 
thème,theme 
tarif,price 
évidemment,obviously 
constituer,to constitute
courant,current 
essentiel,essential 
lettre,letter 
suivant,next 
gauche,the left
train,train 
évolution,evolution 
mémoire,memory 
processus,a process
disparaître,to disappear
parcours,route 
néanmoins,however 
couple,couple 
signe,sign 
commun,common 
approche,approach 
représenter,to represent
air,air 
communauté,community 
débuter,to start
intervenir,to intervene
signer,to sign
exposition,"exhibition, show"
peur,fear 
procédure,procedure 
utilisation,use 
fournir,to provide
défense,defence 
croissance,growth 
demeurer,to remain
science,science 
bureau,desk 
matin,morning 
réunion,meeting 
réserver,to reserve
album,album 
canadien,Canadian 
étudiant,student 
surprise,surprise 
vendre,to sell
manifestation,demonstration 
bref,in short
généralement,generally 
transport,transport 
mener,to lead
procès,lawsuit 
soutenir,to support
fils,son 
heureux,happy 
magnifique,magnificent 
fermer,to shut
contact,contact 
sport,sport 
protection,protection 
feu,fire 
disposition,arrangement 
espérer,to hope
préparer,to prepare
parole,speech 
maladie,illness 
positif,positive 
style,style 
note,note 
argent,money 
économie,economy 
spécial,special 
développer,to develop
chien,dog 
référence,reference 
divers,various 
préparation,preparation 
franc,franc 
manquer,to lack
souhaiter,to wish
six,six 
église,church 
gérer,to manage
taille,a size
complètement,completely 
engager,to commit
difficulté,difficulty 
ouverture,opening 
bleu,blue 
métier,job 
enseignement,education 
entrer,to enter
décider,to decide
amour,love 
manière,way 
soleil,sun 
mètre,meter 
participation,participation 
professeur,teacher 
propos,"topic, subject"
footballeur,footballer 
vote,vote 
participer,to participate
façon,way 
aider,to help
explication,explanation 
informatique,computer science
blesser,to wound
protéger,to protect
performance,performance 
réalisation,realization 
entier,whole 
édition,edition 
comité,committee 
rejoindre,to join
atelier,workshop 
sélection,selection 
présence,presence 
stratégie,strategy 
regard,glance 
bienvenue,welcome 
époque,epoch 
ceci,this 
caractère,character 
football,soccer 
dépendre,to depend
phase,phase 
lumière,light 
esprit,spirit 
former,to form
perspective,perspective 
reprise,resumption 
bâtiment,building 
âge,age 
parfait,perfect 
respecter,to respect
tendance,tendency 
souffrir,to suffer
catégorie,category 
médecin,doctor 
hôpital,hospital 
ajouter,to add
avenir,future 
italien,Italian 
théâtre,theatre 
espèce,type 
majorité,majority 
violence,violence 
cinéma,cinema 
parmi,among 
culturel,cultural 
lecture,reading 
table,table 
sorte,a kind
conseiller,counsellor 
énorme,huge 
numéro,number 
acte,act 
enjeu,the stakes
négociation,negotiation 
chacun,each 
industriel,industrial 
scénario,script 
adresse,address 
installation,installation 
remplacer,to replace
refuser,to refuse
suisse,Swiss 
extérieur,exterior 
exceptionnel,exceptional 
commercial,commercial 
tel,such 
stage,internship 
cher,dear 
compétition,competition 
département,department 
révolution,revolution 
paix,peace 
durant,during 
souvenir,memory 
classique,classic 
ouvrage,work 
accident,accident 
faible,weak 
taux,rate 
surface,surface 
logique,logical 
avance,advance 
machine,machine 
défi,challenge 
lier,to link
technologie,technology 
champ,field 
mer,sea 
battre,to beat
proche,close 
partenaire,partner 
fichier,file 
réduire,to reduce
entretien,interview 
capitale,capital city
accueil,"welcome, greeting"
complexe,complex 
matériel,equipment 
vacances,"holidays, vacation"
partout,everywhere 
majeur,major 
physique,physical 
définir,to define
indispensable,indispensable 
derrière,behind 
frais,cost 
extrêmement,extremely 
garder,to keep
tourner,to turn
secret,secret 
grave,serious 
vieux,old 
installer,to install
château,castle 
efficace,effective 
régulièrement,regularly 
degré,degree 
ressource,resource 
riche,rich 
discours,speech 
commerce,trade 
sûr,sure 
occasion,opportunity 
sérieux,serious 
finale,a final
instant,moment 
chanson,song 
régional,regional 
montant,a amount
party,party 
preuve,evidence 
contenu,content 
militaire,military 
visage,face 
annonce,"announcement, advertisement"
lutte,struggle 
bord,edge 
soutien,support 
scolaire,"scholastic, academic"
maître,master 
final,final 
intervention,intervention 
juge,judge 
avantage,advantage 
priver,to deprive
immédiatement,immediately 
électronique,electronic 
conférence,conference 
somme,sum 
scientifique,scientific 
entièrement,entirely 
dépasser,to exceed
parfaitement,perfectly 
silence,silence 
vérité,truth 
musée,museum 
hôtel,hotel 
arme,a weapon
réforme,reform 
employer,to use
concours,competition 
propriété,property 
quitter,to leave
vent,wind 
original,original 
idéal,ideal 
moyenne,mean 
adapter,to adapt
évoluer,to evolve
autant,so much
frère,brother 
rencontrer,to meet
contraire,opposite 
britannique,British 
maintenir,to maintain
exercice,exercise 
malheureusement,unfortunately 
modifier,to change
subir,to suffer
étudier,to study
feuille,leaf 
augmenter,to increase
avancer,to advance
territoire,territory 
élever,to raise
établissement,establishment 
option,option 
fruit,fruit 
échange,exchange 
revanche,revenge 
concept,concept 
vin,wine 
roi,king 
priorité,priority 
montrer,to show
découverte,discovery 
précédent,previous 
supérieur,superior 
stade,stadium 
obligatoire,obligatory 
responsable,responsible 
oui,yes 
régime,regime 
médical,medical 
perte,loss 
collectif,collective 
central,central 
disque,disc 
sportif,athletic 
réflexion,reflection 
vitesse,speed 
limité,limited 
largement,mainly 
téléphone,telephone 
épreuve,test 
énergie,energy 
tard,late 
initiative,initiative 
lourd,heavy 
uniquement,uniquely 
ambiance,ambiance 
parc,park 
arrêt,a stop
danger,danger 
réussite,success 
net,clean 
jardin,garden 
contacter,to contact
faute,mistake 
fonds,fund 
ciel,sky 
éviter,to avoid
compagnie,company 
unité,unity 
faux,FALSE 
joli,pretty 
transfert,transfer 
vert,green 
producteur,producer 
agréable,pleasant 
arrivée,arrival 
civil,civil 
